Gene Symbol,Ensembl ID
ABCB1,ENSG00000085563
ABI1,ENSG00000136754
ABL1,ENSG00000097007
ABL2,ENSG00000143322
ACKR3,ENSG00000144476
ACSL3,ENSG00000123983
ACVR1,ENSG00000115170
ACVR2A,ENSG00000121989
AFDN,ENSG00000130396
AFF1,ENSG00000172493
AFF3,ENSG00000144218
AFF4,ENSG00000072364
AJUBA,ENSG00000129474
AKT1,ENSG00000142208
AKT2,ENSG00000105221
AKT3,ENSG00000117020
ALB,ENSG00000188878
ALK,ENSG00000171094
AMER1,ENSG00000184675
APC,ENSG00000134982
APOBEC3B,ENSG00000179750
AR,ENSG00000169083
ARAF,ENSG00000078061
ARHGAP5,ENSG00000100852
ARHGAP26,ENSG00000145819
ARHGAP35,ENSG00000160007
ARHGEF10,ENSG00000104728
ARHGEF10L,ENSG00000074964
ARHGEF12,ENSG00000196914
ARID1A,ENSG00000117713
ARID1B,ENSG00000049618
ARID2,ENSG00000189079
ARNT,ENSG00000143437
ASPSCR1,ENSG00000169696
ASXL1,ENSG00000171456
ASXL2,ENSG00000143970
ATF1,ENSG00000168621
ATF7IP,ENSG00000171681
ATG7,ENSG00000197548
ATIC,ENSG00000138363
ATM,ENSG00000149311
ATP1A1,ENSG00000163399
ATP2B3,ENSG00000067842
ATR,ENSG00000258597
ATRX,ENSG00000085224
AXIN1,ENSG00000103126
AXIN2,ENSG00000168646
B2M,ENSG00000166710
BAP1,ENSG00000121481
BARD1,ENSG00000138376
BAX,ENSG00000087088
BCL2,ENSG00000171791
BCL2L12,ENSG00000126453
BCL3,ENSG00000069399
BCL6,ENSG00000113916
BCL7A,ENSG00000110987
BCL9,ENSG00000116128
BCL9L,ENSG00000186174
BCL10,ENSG00000142867
BCL11A,ENSG00000119866
BCL11B,ENSG00000127152
BCLAF1,ENSG00000029363
BCOR,ENSG00000183337
BCORL1,ENSG00000085185
BCR,ENSG00000186716
BIRC3,ENSG00000023445
BIRC6,ENSG00000115760
BLM,ENSG00000197299
BMPR1A,ENSG00000107779
BMPR2,ENSG00000204217
BRAF,ENSG00000157764
BRCA1,ENSG00000012048
BRCA2,ENSG00000139618
BRD3,ENSG00000169925
BRD4,ENSG00000141867
BRD7,ENSG00000166164
BRIP1,ENSG00000136492
BTG1,ENSG00000133639
BTK,ENSG00000010671
BUB1B,ENSG00000156970
CACNA1D,ENSG00000157388
CALR,ENSG00000179218
CAMTA1,ENSG00000171735
CANT1,ENSG00000171302
CARD11,ENSG00000198286
CARS1,ENSG00000110619
CASP8,ENSG00000064012
CASZ1,ENSG00000130940
CBFA2T3,ENSG00000129993
CBFB,ENSG00000067955
CBL,ENSG00000110395
CBLB,ENSG00000114423
CBLC,ENSG00000142273
CCDC6,ENSG00000108091
CCNB1IP1,ENSG00000100814
CCND1,ENSG00000110092
CCND2,ENSG00000118971
CCND3,ENSG00000112576
CCNE1,ENSG00000105173
CCR7,ENSG00000126353
CD58,ENSG00000116815
CD74,ENSG00000019582
CD79A,ENSG00000105369
CD79B,ENSG00000007312
CD274,ENSG00000120217
CDC73,ENSG00000134371
CDH1,ENSG00000105325
CDH10,ENSG00000040731
CDH11,ENSG00000140937
CDK4,ENSG00000135446
CDK6,ENSG00000105810
CDK12,ENSG00000167258
CDKN1A,ENSG00000124762
CDKN1B,ENSG00000111276
CDKN2A,ENSG00000147889
CDKN2C,ENSG00000123080
CDX2,ENSG00000165556
CEBPA,ENSG00000245848
CHCHD7,ENSG00000170791
CHD2,ENSG00000173575
CHD4,ENSG00000111642
CHEK2,ENSG00000183765
CIC,ENSG00000100075
CIITA,ENSG00000179583
CLIP1,ENSG00000130779
CLTC,ENSG00000141367
CLTCL1,ENSG00000070371
CMTR2,ENSG00000180917
CNBP,ENSG00000169714
CNOT3,ENSG00000088038
CNTRL,ENSG00000119397
COL1A1,ENSG00000108821
COL2A1,ENSG00000139219
CPEB3,ENSG00000107864
CR1,ENSG00000203710
CREB1,ENSG00000118260
CREB3L1,ENSG00000157613
CREB3L2,ENSG00000182158
CREBBP,ENSG00000005339
CRLF2,ENSG00000292363
CRNKL1,ENSG00000101343
CRTC1,ENSG00000105662
CRTC3,ENSG00000140577
CSF3R,ENSG00000119535
CTCF,ENSG00000102974
CTNNB1,ENSG00000168036
CUL3,ENSG00000036257
CUX1,ENSG00000257923
CXCR4,ENSG00000121966
CYLD,ENSG00000083799
CYP2C8,ENSG00000138115
CYSLTR2,ENSG00000152207
DAXX,ENSG00000204209
DAZAP1,ENSG00000071626
DCAF12L2,ENSG00000198354
DCC,ENSG00000187323
DCSTAMP,ENSG00000164935
DCTN1,ENSG00000204843
DDB2,ENSG00000134574
DDIT3,ENSG00000285133
DDR2,ENSG00000162733
DDX3X,ENSG00000215301
DDX5,ENSG00000108654
DDX6,ENSG00000110367
DDX10,ENSG00000178105
DEK,ENSG00000124795
DGCR8,ENSG00000128191
DHX9,ENSG00000135829
DICER1,ENSG00000100697
DIS3,ENSG00000083520
DNAJB1,ENSG00000132002
DNM2,ENSG00000079805
DNMT3A,ENSG00000119772
DOT1L,ENSG00000104885
DROSHA,ENSG00000113360
DTX1,ENSG00000135144
DUSP16,ENSG00000111266
EBF1,ENSG00000164330
EFTUD2,ENSG00000108883
EGFR,ENSG00000146648
EGR2,ENSG00000122877
EHD2,ENSG00000024422
EIF1AX,ENSG00000173674
EIF3E,ENSG00000104408
EIF4A2,ENSG00000156976
ELF3,ENSG00000163435
ELF4,ENSG00000102034
ELK4,ENSG00000158711
ELL,ENSG00000105656
ELN,ENSG00000049540
EML4,ENSG00000143924
ENPEP,ENSG00000138792
EP300,ENSG00000100393
EPAS1,ENSG00000116016
EPHA2,ENSG00000142627
